Location,male_median_salary,female_median_salary,STATE,gender_pay_gap
New South Wales,40674,28204,NSW,30.658405861238137
Braidwood,36541,22951,NSW,37.19110040776115
Queanbeyan,42650,34798,NSW,18.41031652989449
Queanbeyan Region,61036,41521,NSW,31.972934006160298
Bombala,23400,15846,NSW,32.282051282051285
Batemans Bay,27166,20042,NSW,26.22395641610837
Deua - Wadbilliga,87201,46762,NSW,46.37446818270433
Eden,27721,21740,NSW,21.575700732296816
Eurobodalla Hinterland,30697,23406,NSW,23.751506661888783
Moruya - Tuross Head,29473,23440,NSW,20.469582329589795
Goulburn,38306,27225,NSW,28.927583146243407
Goulburn Region,30805,22097,NSW,28.26813828923876
Yass,40984,28499,NSW,30.46310755416748
Yass Region,42059,30355,NSW,27.82757554863406
Box Head - MacMasters Beach,43302,28947,NSW,33.150893723153665
Erina - Green Point,43595,26844,NSW,38.424131207707305
Gosford - Springfield,40294,27554,NSW,31.617610562366604
Kariong,49026,30950,NSW,36.87023212173133
Narara,46964,30574,NSW,34.89907162933311
Saratoga - Davistown,44037,28214,NSW,35.931148806685286
Wamberal - Forresters Beach,42056,27340,NSW,34.9914399847822
Woy Woy - Blackwall,42685,28830,NSW,32.45870914841279
Wyoming,42483,29000,NSW,31.73740084269002
Bateau Bay - Killarney Vale,40914,27080,NSW,33.81238695800948
Blue Haven - San Remo,39110,26412,NSW,32.46739964203528
Budgewoi - Buff Point - Halekulani,39866,25821,NSW,35.230522249535944
Chittaway Bay - Tumbi Umbi,44538,29184,NSW,34.473932372356195
Gorokan - Kanwal - Charmhaven,37528,24778,NSW,33.97463227456832
Jilliby - Yarramalong,43750,25000,NSW,42.857142857142854
Lake Munmorah - Mannering Park,41292,27044,NSW,34.50547321515064
Ourimbah - Fountaindale,43979,27469,NSW,37.5406443984629
The Entrance,42554,31079,NSW,26.965737650984632
Toukley - Norah Head,33274,27760,NSW,16.571497265131935
Tuggerah - Kangy Angy,43288,26982,NSW,37.668637959711695
Wyong,34203,24299,NSW,28.956524281495778
Bathurst - East,42721,27140,NSW,36.471524542964815
